Input1,Input2,Output,MAE,MSE
0.000000,1.000000,0.000000,0.001453,0.000798
1.000000,0.000000,1.000000,0.001312,0.000652
1.000000,1.000000,1.000000,0.001369,0.000712
0.000000,0.000000,1.000000,0.001442,0.000792
0.000000,1.000000,0.000000,0.001436,0.000788
1.000000,0.000000,1.000000,0.001298,0.000645
1.000000,1.000000,1.000000,0.001354,0.000704
0.000000,0.000000,1.000000,0.001427,0.000784
0.000000,1.000000,0.000000,0.001420,0.000778
1.000000,0.000000,1.000000,0.001285,0.000639
1.000000,1.000000,1.000000,0.001339,0.000696
0.000000,0.000000,1.000000,0.001412,0.000776
0.000000,1.000000,0.000000,0.001404,0.000769
1.000000,0.000000,1.000000,0.001271,0.000632
1.000000,1.000000,1.000000,0.001325,0.000688
0.000000,0.000000,1.000000,0.001398,0.000768
0.000000,1.000000,0.000000,0.001389,0.000760
1.000000,0.000000,1.000000,0.001259,0.000626
1.000000,1.000000,1.000000,0.001311,0.000681
0.000000,0.000000,1.000000,0.001383,0.000760
0.000000,1.000000,0.000000,0.001374,0.000751
1.000000,0.000000,1.000000,0.001246,0.000619
1.000000,1.000000,1.000000,0.001297,0.000673
0.000000,0.000000,1.000000,0.001370,0.000752
0.000000,1.000000,0.000000,0.001359,0.000742
1.000000,0.000000,1.000000,0.001234,0.000613
1.000000,1.000000,1.000000,0.001284,0.000666
0.000000,0.000000,1.000000,0.001356,0.000745
0.000000,1.000000,0.000000,0.001344,0.000734
1.000000,0.000000,1.000000,0.001221,0.000607
1.000000,1.000000,1.000000,0.001270,0.000659
0.000000,0.000000,1.000000,0.001343,0.000737
0.000000,1.000000,0.000000,0.001330,0.000725
1.000000,0.000000,1.000000,0.001210,0.000601
1.000000,1.000000,1.000000,0.001257,0.000651
0.000000,0.000000,1.000000,0.001330,0.000730
0.000000,1.000000,0.000000,0.001316,0.000717
1.000000,0.000000,1.000000,0.001198,0.000596
1.000000,1.000000,1.000000,0.001245,0.000645
0.000000,0.000000,1.000000,0.001317,0.000723
0.000000,1.000000,0.000000,0.001302,0.000709
1.000000,0.000000,1.000000,0.001187,0.000590
1.000000,1.000000,1.000000,0.001232,0.000638
0.000000,0.000000,1.000000,0.001304,0.000716
0.000000,1.000000,0.000000,0.001289,0.000701
1.000000,0.000000,1.000000,0.001175,0.000584
1.000000,1.000000,1.000000,0.001220,0.000631
0.000000,0.000000,1.000000,0.001292,0.000709
0.000000,1.000000,0.000000,0.001276,0.000693
1.000000,0.000000,1.000000,0.001164,0.000579
1.000000,1.000000,1.000000,0.001208,0.000625
0.000000,0.000000,1.000000,0.001280,0.000703
0.000000,1.000000,0.000000,0.001263,0.000686
1.000000,0.000000,1.000000,0.001154,0.000574
1.000000,1.000000,1.000000,0.001196,0.000618
0.000000,0.000000,1.000000,0.001268,0.000696
0.000000,1.000000,0.000000,0.001250,0.000678
1.000000,0.000000,1.000000,0.001143,0.000568
1.000000,1.000000,1.000000,0.001185,0.000612
0.000000,0.000000,1.000000,0.001256,0.000690
0.000000,1.000000,0.000000,0.001238,0.000671
1.000000,0.000000,1.000000,0.001133,0.000563
1.000000,1.000000,1.000000,0.001174,0.000606
0.000000,0.000000,1.000000,0.001245,0.000683
0.000000,1.000000,0.000000,0.001226,0.000664
1.000000,0.000000,1.000000,0.001122,0.000558
1.000000,1.000000,1.000000,0.001163,0.000600
0.000000,0.000000,1.000000,0.001233,0.000677
0.000000,1.000000,0.000000,0.001214,0.000657
1.000000,0.000000,1.000000,0.001112,0.000553
1.000000,1.000000,1.000000,0.001152,0.000594
0.000000,0.000000,1.000000,0.001222,0.000671
0.000000,1.000000,0.000000,0.001202,0.000650
1.000000,0.000000,1.000000,0.001102,0.000548
1.000000,1.000000,1.000000,0.001141,0.000589
0.000000,0.000000,1.000000,0.001211,0.000665
0.000000,1.000000,0.000000,0.001191,0.000644
1.000000,0.000000,1.000000,0.001093,0.000543
1.000000,1.000000,1.000000,0.001131,0.000583
0.000000,0.000000,1.000000,0.001201,0.000659
0.000000,1.000000,0.000000,0.001179,0.000637
1.000000,0.000000,1.000000,0.001083,0.000539
1.000000,1.000000,1.000000,0.001120,0.000577
0.000000,0.000000,1.000000,0.001190,0.000653
0.000000,1.000000,0.000000,0.001168,0.000631
1.000000,0.000000,1.000000,0.001074,0.000534
1.000000,1.000000,1.000000,0.001110,0.000572
0.000000,0.000000,1.000000,0.001180,0.000647
0.000000,1.000000,0.000000,0.001157,0.000624
1.000000,0.000000,1.000000,0.001065,0.000529
1.000000,1.000000,1.000000,0.001100,0.000567
0.000000,0.000000,1.000000,0.001170,0.000642
0.000000,1.000000,0.000000,0.001147,0.000618
1.000000,0.000000,1.000000,0.001056,0.000525
1.000000,1.000000,1.000000,0.001091,0.000561
0.000000,0.000000,1.000000,0.001160,0.000636
0.000000,1.000000,0.000000,0.001136,0.000612
1.000000,0.000000,1.000000,0.001047,0.000521
1.000000,1.000000,1.000000,0.001081,0.000556
0.000000,0.000000,1.000000,0.001150,0.000631
0.000000,1.000000,0.000000,0.001126,0.000606
1.000000,0.000000,1.000000,0.001038,0.000516
1.000000,1.000000,1.000000,0.001072,0.000551
0.000000,0.000000,1.000000,0.001140,0.000625
0.000000,1.000000,0.000000,0.001116,0.000600
1.000000,0.000000,1.000000,0.001030,0.000512
1.000000,1.000000,1.000000,0.001062,0.000546
0.000000,0.000000,1.000000,0.001131,0.000620
0.000000,1.000000,0.000000,0.001106,0.000594
1.000000,0.000000,1.000000,0.001021,0.000508
1.000000,1.000000,1.000000,0.001053,0.000541
0.000000,0.000000,1.000000,0.001121,0.000615
0.000000,1.000000,0.000000,0.001096,0.000589
1.000000,0.000000,1.000000,0.001013,0.000504
1.000000,1.000000,1.000000,0.001044,0.000537
0.000000,0.000000,1.000000,0.001112,0.000610
0.000000,1.000000,0.000000,0.001086,0.000583
1.000000,0.000000,1.000000,0.001005,0.000500
1.000000,1.000000,1.000000,0.001036,0.000532
0.000000,0.000000,1.000000,0.001103,0.000605
0.000000,1.000000,0.000000,0.001077,0.000578
1.000000,0.000000,1.000000,0.000997,0.000496
1.000000,1.000000,1.000000,0.001027,0.000527
0.000000,0.000000,1.000000,0.001094,0.000600
0.000000,1.000000,0.000000,0.001068,0.000572
1.000000,0.000000,1.000000,0.000989,0.000492
1.000000,1.000000,1.000000,0.001018,0.000523
0.000000,0.000000,1.000000,0.001085,0.000595
0.000000,1.000000,0.000000,0.001059,0.000567
1.000000,0.000000,1.000000,0.000981,0.000488
1.000000,1.000000,1.000000,0.001010,0.000518
0.000000,0.000000,1.000000,0.001077,0.000590
0.000000,1.000000,0.000000,0.001050,0.000562
1.000000,0.000000,1.000000,0.000973,0.000484
1.000000,1.000000,1.000000,0.001002,0.000514
0.000000,0.000000,1.000000,0.001068,0.000585
0.000000,1.000000,0.000000,0.001041,0.000557
1.000000,0.000000,1.000000,0.000966,0.000480
1.000000,1.000000,1.000000,0.000994,0.000510
0.000000,0.000000,1.000000,0.001060,0.000581
0.000000,1.000000,0.000000,0.001032,0.000552
1.000000,0.000000,1.000000,0.000958,0.000477
1.000000,1.000000,1.000000,0.000986,0.000505
0.000000,0.000000,1.000000,0.001051,0.000576
0.000000,1.000000,0.000000,0.001023,0.000547
1.000000,0.000000,1.000000,0.000951,0.000473
1.000000,1.000000,1.000000,0.000978,0.000501
0.000000,0.000000,1.000000,0.001043,0.000572
0.000000,1.000000,0.000000,0.001015,0.000542
1.000000,0.000000,1.000000,0.000944,0.000470
1.000000,1.000000,1.000000,0.000970,0.000497
0.000000,0.000000,1.000000,0.001035,0.000567
0.000000,1.000000,0.000000,0.001007,0.000537
1.000000,0.000000,1.000000,0.000937,0.000466
1.000000,1.000000,1.000000,0.000963,0.000493
0.000000,0.000000,1.000000,0.001027,0.000563
0.000000,1.000000,0.000000,0.000999,0.000532
1.000000,0.000000,1.000000,0.000930,0.000463
1.000000,1.000000,1.000000,0.000955,0.000489
0.000000,0.000000,1.000000,0.001020,0.000558
0.000000,1.000000,0.000000,0.000990,0.000528
1.000000,0.000000,1.000000,0.000923,0.000459
1.000000,1.000000,1.000000,0.000948,0.000485
0.000000,0.000000,1.000000,0.001012,0.000554
0.000000,1.000000,0.000000,0.000983,0.000523
1.000000,0.000000,1.000000,0.000916,0.000456
1.000000,1.000000,1.000000,0.000941,0.000481
0.000000,0.000000,1.000000,0.001004,0.000550
0.000000,1.000000,0.000000,0.000975,0.000519
1.000000,0.000000,1.000000,0.000910,0.000452
1.000000,1.000000,1.000000,0.000933,0.000478
0.000000,0.000000,1.000000,0.000997,0.000546
0.000000,1.000000,0.000000,0.000967,0.000514
1.000000,0.000000,1.000000,0.000903,0.000449
1.000000,1.000000,1.000000,0.000926,0.000474
0.000000,0.000000,1.000000,0.000990,0.000542
0.000000,1.000000,0.000000,0.000960,0.000510
1.000000,0.000000,1.000000,0.000896,0.000446
1.000000,1.000000,1.000000,0.000920,0.000470
